epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,84.0164,3.57808,0.22083,0.57989,3.03264,7.87626e-05,7.87626e-05,7.87626e-05
2,174.241,2.39716,0.6737,0.93896,1.17616,0.000154966,0.000154966,0.000154966
3,262.311,1.21815,0.82226,0.97442,0.65339,0.000228027,0.000228027,0.000228027
4,353.844,0.86296,0.86221,0.98294,0.46375,0.000223863,0.000223863,0.000223863
5,441.942,0.72594,0.87747,0.98429,0.41445,0.00021915,0.00021915,0.00021915
6,530.338,0.6551,0.89452,0.98743,0.36295,0.000214438,0.000214438,0.000214438
7,621.834,0.61427,0.89587,0.98968,0.3511,0.000209726,0.000209726,0.000209726
8,713.489,0.57062,0.9035,0.98878,0.32429,0.000205013,0.000205013,0.000205013
9,806.868,0.52915,0.91293,0.99013,0.29092,0.000200301,0.000200301,0.000200301
10,898.712,0.53994,0.91068,0.99102,0.28894,0.000195588,0.000195588,0.000195588
11,994.639,0.49688,0.91786,0.99147,0.26287,0.000190876,0.000190876,0.000190876
12,1089.58,0.47236,0.91158,0.98923,0.29059,0.000186164,0.000186164,0.000186164
13,1178.56,0.45142,0.92415,0.99192,0.25603,0.000181451,0.000181451,0.000181451
14,1271.05,0.463,0.91966,0.99057,0.2584,0.000176739,0.000176739,0.000176739
15,1374.09,0.43729,0.92504,0.99192,0.25257,0.000172026,0.000172026,0.000172026
16,1468.99,0.44543,0.93043,0.99147,0.23203,0.000167314,0.000167314,0.000167314
17,1572.55,0.42105,0.92819,0.99237,0.23601,0.000162602,0.000162602,0.000162602
18,1667.96,0.40558,0.92819,0.99147,0.23018,0.000157889,0.000157889,0.000157889
19,1760.89,0.39333,0.93043,0.99282,0.22715,0.000153177,0.000153177,0.000153177
20,1853.84,0.39935,0.92639,0.99192,0.2337,0.000148464,0.000148464,0.000148464
21,1947.85,0.39519,0.93716,0.99057,0.22622,0.000143752,0.000143752,0.000143752
22,2040.33,0.363,0.93268,0.99147,0.21278,0.00013904,0.00013904,0.00013904
23,2140.12,0.37717,0.93851,0.99327,0.21599,0.000134327,0.000134327,0.000134327
24,2240.73,0.37191,0.93582,0.99461,0.21925,0.000129615,0.000129615,0.000129615
25,2337.71,0.35447,0.93447,0.99282,0.22566,0.000124902,0.000124902,0.000124902
26,2434.96,0.34857,0.93582,0.99417,0.21481,0.00012019,0.00012019,0.00012019
27,2534.34,0.35695,0.93806,0.99461,0.20931,0.000115478,0.000115478,0.000115478
28,2632.29,0.34457,0.93492,0.99327,0.21784,0.000110765,0.000110765,0.000110765
29,2732.78,0.3509,0.93806,0.99372,0.22745,0.000106053,0.000106053,0.000106053
30,2832.53,0.36167,0.93537,0.99237,0.21466,0.00010134,0.00010134,0.00010134
31,2931.4,0.34726,0.93761,0.99372,0.21688,9.6628e-05,9.6628e-05,9.6628e-05
32,3027.84,0.31921,0.93582,0.99372,0.21165,9.19156e-05,9.19156e-05,9.19156e-05
33,3108.85,0.33146,0.93806,0.99417,0.21544,8.72032e-05,8.72032e-05,8.72032e-05
34,3189.86,0.31957,0.93671,0.99417,0.21354,8.24908e-05,8.24908e-05,8.24908e-05
35,3269.96,0.32159,0.93761,0.99417,0.20638,7.77784e-05,7.77784e-05,7.77784e-05
36,3350.93,0.31655,0.93627,0.99551,0.20783,7.3066e-05,7.3066e-05,7.3066e-05
37,3430.68,0.32788,0.94075,0.99551,0.20085,6.83536e-05,6.83536e-05,6.83536e-05
38,3510.3,0.33911,0.94031,0.99461,0.20889,6.36412e-05,6.36412e-05,6.36412e-05
39,3591.5,0.3145,0.94165,0.99506,0.19868,5.89288e-05,5.89288e-05,5.89288e-05
40,3672.24,0.32248,0.93627,0.99551,0.20523,5.42164e-05,5.42164e-05,5.42164e-05
41,3753.52,0.31115,0.93761,0.99506,0.20228,4.9504e-05,4.9504e-05,4.9504e-05
42,3849.95,0.30282,0.93941,0.99461,0.2023,4.47916e-05,4.47916e-05,4.47916e-05
43,3945.2,0.30112,0.93761,0.99506,0.19624,4.00792e-05,4.00792e-05,4.00792e-05
44,4040.55,0.29897,0.9421,0.99506,0.20468,3.53668e-05,3.53668e-05,3.53668e-05
45,4141.26,0.30505,0.94165,0.99417,0.19827,3.06544e-05,3.06544e-05,3.06544e-05
46,4236.91,0.30369,0.9412,0.99461,0.196,2.5942e-05,2.5942e-05,2.5942e-05
47,4330.44,0.31564,0.9421,0.99506,0.19952,2.12296e-05,2.12296e-05,2.12296e-05
48,4427.05,0.30547,0.93851,0.99506,0.19294,1.65172e-05,1.65172e-05,1.65172e-05
49,4522.78,0.30405,0.93941,0.99506,0.19825,1.18048e-05,1.18048e-05,1.18048e-05
50,4615.98,0.28709,0.94075,0.99506,0.20765,7.0924e-06,7.0924e-06,7.0924e-06
